Date	P	E	Q	Tmax	Tmin
1960-10-21	0.04	1.572	1.7116	14.1833	-0.0556
1960-10-22	0	1.548	1.3235	15.6889	0.4167
1960-10-23	0	1.523	1.224	19.5611	3.2833
1960-10-24	0	1.5	1.1742	18.3889	4.5889
1960-10-25	0.02	1.476	1.1046	17.35	-1.7056
1960-10-26	3.16	1.452	1.0548	14.0111	-0.1611
1960-10-27	9.45	1.429	1.1145	13.4444	5.1444
1960-10-28	1.42	1.406	1.3135	15.0944	5.3667
1960-10-29	0.03	1.383	1.2041	18.0667	2.4611
1960-10-30	0.09	1.361	1.1145	18.4333	5.0389
1960-10-31	14.34	1.339	1.1245	13.7056	6.7611
1960-11-01	0.04	1.317	1.6121	15.6611	2.4722
1960-11-02	2.36	1.295	1.4628	20.0833	0.0222
1960-11-03	0.04	1.274	1.2936	15.8833	1.4833
1960-11-04	0.03	1.252	1.2339	16.7222	-2.5444
1960-11-05	1.32	1.232	1.1444	19.1	-1.4833
1960-11-06	0.05	1.211	1.1046	12.9	-1.8222
1960-11-07	0.11	1.191	1.0648	7.7167	-2.85
1960-11-08	0.01	1.171	1.025	9.2722	-7.0333
1960-11-09	1.97	1.151	1.224	11.9556	-2.4333
1960-11-10	5.02	1.132	1.0946	13.4056	3.3167
1960-11-11	0	1.113	1.1543	9.4722	-2.2333
1960-11-12	0	1.094	1.0946	15.5	-4.6389
1960-11-13	0	1.076	1.0449	15.6611	-3.1056
1960-11-14	0	1.058	1.0349	19.7	-2.3278
1960-11-15	0	1.04	1.0349	19.5833	-0.25
1960-11-16	0.05	1.023	1.025	18.1611	3.8222
1960-11-17	0.02	1.006	1.025	16.2889	4.9611
1960-11-18	0	0.99	0.9911	14.0444	0.2333
1960-11-19	0	0.974	0.9692	15.1556	-2.1556
1960-11-20	0	0.958	0.9473	16.0056	-4.1056
1960-11-21	0	0.942	0.9364	17.5778	-0.6389
1960-11-22	0.19	0.927	0.9254	18.5778	-1.8333
1960-11-23	12.07	0.913	1.0051	14.2722	6.5278
1960-11-24	0.15	0.898	1.1046	12.2389	6.5722
1960-11-25	0.01	0.885	1.0449	14.9056	4.0611
1960-11-26	0	0.871	0.9802	17.1556	1.2611
1960-11-27	0	0.858	0.9692	17.6778	2.2778
1960-11-28	0.06	0.845	0.9473	20.5944	2.6889
1960-11-29	2.99	0.833	0.9364	17.6722	6.0111
1960-11-30	0	0.821	0.9254	7.7	-4.8722
1960-12-01	0	0.81	0.8836	1.9778	-6.9611
1960-12-02	0	0.799	0.8737	8.2167	-10.7
1960-12-03	0	0.788	0.8518	12.9	-10.5444
1960-12-04	0	0.778	0.8518	16.2111	-7.9944
1960-12-05	0	0.769	0.8628	17.6111	-4.3222
1960-12-06	0	0.759	0.8518	17.8056	-1.8111
1960-12-07	0.03	0.75	0.8518	14.8722	1.0389
1960-12-08	0	0.742	0.8419	10.7056	0.3167
1960-12-09	0	0.734	0.8319	7.0778	-6.4667
1960-12-10	0	0.727	0.81	11.1722	-9.2111
1960-12-11	37.34	0.72	1.1145	8.0389	-2.1111
1960-12-12	0.36	0.713	2.0798	3.0722	-6.3667
1960-12-13	0.01	0.707	1.4926	-2.2778	-12.4444
1960-12-14	0	0.701	1.2041	8.7389	-12.3611
1960-12-15	0.57	0.696	1.1941	6.2278	-3.8889
1960-12-16	0.23	0.691	1.1543	3.6611	-4.65
1960-12-17	0	0.687	1.015	6.4333	-9.5778
1960-12-18	0	0.683	0.9692	7.2056	-9.55
1960-12-19	0.01	0.679	0.9473	8.8833	-8.5833
1960-12-20	4.12	0.676	0.9473	7.3611	-4.2333
1960-12-21	1.51	0.674	0.9802	2.6722	-7.0333
1960-12-22	0.03	0.672	0.9155	-3.6278	-15.6833
1960-12-23	0.04	0.67	0.8757	-1.4167	-14.3278
1960-12-24	0.19	0.669	0.8956	2.15	-8.0278
1960-12-25	0.08	0.669	0.9055	8.9944	-6.8056
1960-12-26	0.03	0.668	0.9045	11.6889	-5.8389
1960-12-27	0	0.669	0.9155	9.5667	-2.4
1960-12-28	0.01	0.669	0.8936	5.7111	-2.85
1960-12-29	3.51	0.671	0.8836	9.5833	-0.4
1960-12-30	0.57	0.672	0.9045	10.4833	0.35
1960-12-31	20.69	0.674	0.9364	7.7333	-3.7778
1961-01-01	0.65	0.67	1.5126	8.5222	-1.4167
1961-01-02	0	0.68	1.6718	9.3333	-4.6389
1961-01-03	0.01	0.683	1.2837	4.1722	-5.5056
1961-01-04	0	0.687	1.1444	8.9444	-7.2722
1961-01-05	0	0.692	1.0847	10.8944	-6.1722
1961-01-06	0	0.697	1.0349	11.8222	-5.2056
