Date P PET Q
1949-06-05 0.01 4.448 0.4795
1949-06-06 0.06 4.462 0.4595
1949-06-07 0.03 4.475 0.4395
1949-06-08 0 4.488 0.4088
1949-06-09 0 4.5 0.3996
1949-06-10 0 4.512 0.3719
1949-06-11 0.26 4.523 0.3535
1949-06-12 1.48 4.534 0.335
1949-06-13 0.55 4.544 0.3166
1949-06-14 0.34 4.553 0.3258
1949-06-15 5 4.562 0.3012
1949-06-16 7.67 4.57 0.3166
1949-06-17 12.8 4.578 0.3996
1949-06-18 6.47 4.585 0.501
1949-06-19 0.56 4.592 0.7638
1949-06-20 0.3 4.598 1.3831
1949-06-21 1.17 4.603 1.254
1949-06-22 0.7 4.608 0.8729
1949-06-23 0 4.612 0.6808
1949-06-24 0.15 4.616 0.5333
1949-06-25 1.39 4.619 0.4395
1949-06-26 0.13 4.621 0.3535
1949-06-27 5.64 4.623 0.2828
1949-06-28 26.33 4.624 0.292
1949-06-29 14.55 4.625 0.7745
1949-06-30 1.14 4.625 1.5367
1949-07-01 0.23 4.625 1.8287
1949-07-02 0.54 4.624 1.9056
1949-07-03 0 4.622 1.8748
1949-07-04 0 4.62 1.234
1949-07-05 3.58 4.617 0.6116
1949-07-06 2.1 4.614 0.4795
1949-07-07 2.68 4.61 0.4195
1949-07-08 5.06 4.605 0.4088
1949-07-09 0.02 4.6 0.4702
1949-07-10 3.35 4.594 0.544
1949-07-11 2.63 4.588 0.8222
1949-07-12 40.86 4.581 1.128
1949-07-13 16.52 4.573 0.8975
1949-07-14 5.59 4.565 1.128
1949-07-15 7.4 4.557 1.6597
1949-07-16 14.72 4.547 2.1053
1949-07-17 6.57 4.538 2.4434
1949-07-18 0.96 4.527 3.1196
1949-07-19 0.8 4.516 3.8726
1949-07-20 1.36 4.505 3.3962
1949-07-21 1.75 4.493 2.3973
1949-07-22 2.99 4.48 1.5367
1949-07-23 0.76 4.467 0.8237
1949-07-24 0 4.454 0.7038
1949-07-25 0.1 4.44 0.8237
1949-07-26 1.88 4.425 0.9466
1949-07-27 2.58 4.41 1.1556
1949-07-28 0.02 4.394 1.1003
1949-07-29 1.5 4.378 0.6116
1949-07-30 12.72 4.361 0.4595
1949-07-31 0.01 4.343 0.3811
1949-08-01 0 4.326 0.3535
1949-08-02 2.56 4.307 0.3719
1949-08-03 3.97 4.288 0.3627
1949-08-04 1.67 4.269 0.3719
1949-08-05 1.02 4.249 0.6577
1949-08-06 0.63 4.229 0.922
1949-08-07 0.25 4.208 0.7991
1949-08-08 0 4.187 0.5117
1949-08-09 0.79 4.165 0.3903
1949-08-10 0.35 4.143 0.335
1949-08-11 3.95 4.121 0.3012
1949-08-12 11.3 4.098 0.2828
1949-08-13 10.77 4.074 0.292
1949-08-14 9.48 4.05 0.3442
1949-08-15 18.43 4.026 0.5225
1949-08-16 4.8 4.001 0.6577
1949-08-17 1.78 3.976 0.8483
1949-08-18 18.42 3.951 0.8237
1949-08-19 2.26 3.925 0.9712
1949-08-20 0 3.898 0.8729
1949-08-21 0.03 3.872 0.7991
1949-08-22 1.85 3.845 0.6808
1949-08-23 2 3.817 0.5117
1949-08-24 0.03 3.789 0.4487
1949-08-25 0 3.761 0.4303
1949-08-26 0 3.733 0.3996
1949-08-27 7.25 3.704 0.3719
1949-08-28 27.28 3.675 0.335
1949-08-29 1.1 3.646 0.6347
1949-08-30 1.69 3.616 0.9958
1949-08-31 3.68 3.586 1.0726
1949-09-01 0.57 3.556 0.8483
1949-09-02 0.1 3.525 0.5886
1949-09-03 0.06 3.494 0.4303
1949-09-04 0 3.463 0.3719
1949-09-05 5.16 3.432 0.3535
1949-09-06 6.01 3.401 0.335
1949-09-07 0.93 3.369 0.5117
1949-09-08 0.6 3.337 0.7499
1949-09-09 0 3.305 0.6116
1949-09-10 0 3.272 0.4487
1949-09-11 0.04 3.24 0.3627
1949-09-12 2.92 3.207 0.3012
1949-09-13 11.85 3.174 0.335
1949-09-14 0.54 3.141 0.3535
1949-09-15 0.34 3.108 0.4395
1949-09-16 0.94 3.074 0.3996
1949-09-17 1.96 3.041 0.3688
1949-09-18 2.7 3.007 0.3304
1949-09-19 0.39 2.973 0.3381
1949-09-20 0.01 2.939 0.3535
1949-09-21 3.13 2.905 0.315
1949-09-22 10.64 2.871 0.292
1949-09-23 6.06 2.837 0.3227
1949-09-24 0.4 2.803 0.3535
1949-09-25 0 2.769 0.3903
1949-09-26 0 2.734 0.3442
1949-09-27 0.91 2.7 0.3166
1949-09-28 11.43 2.666 0.3012
1949-09-29 8.25 2.631 0.3258
1949-09-30 0.06 2.597 0.4487
1949-10-01 0 2.563 0.5102
1949-10-02 0 2.528 0.4702
1949-10-03 0 2.494 0.4103
1949-10-04 0 2.46 0.3458
1949-10-05 0 2.426 0.3012
1949-10-06 1.31 2.392 0.2751
1949-10-07 4.14 2.358 0.2674
1949-10-08 0 2.324 0.2751
1949-10-09 0 2.29 0.2751
1949-10-10 0 2.256 0.2674
1949-10-11 0 2.222 0.2674
1949-10-12 0.05 2.189 0.2582
1949-10-13 1.14 2.155 0.2582
1949-10-14 1.57 2.122 0.2582
1949-10-15 0.01 2.089 0.2413
1949-10-16 0 2.056 0.249
1949-10-17 0 2.023 0.2413
1949-10-18 0 1.99 0.249
1949-10-19 0.08 1.958 0.2582
1949-10-20 0 1.925 0.2582
1949-10-21 0.06 1.893 0.249
1949-10-22 0.31 1.861 0.2336
1949-10-23 0.22 1.83 0.2413
1949-10-24 0.03 1.798 0.2167
1949-10-25 1.58 1.767 0.2336
1949-10-26 6.56 1.736 0.2413
1949-10-27 2.26 1.706 0.2582
